pid,gametime,fg2_rate,fg3_rate,home_team_name,tid,opp_1,dist_1,is_make,shot_distance
1,18.41666667,42,30,Andover,1001,56633,1.734382483,FALSE,6.945848225
1,13.45,42,30,Andover,1001,114450,3.831264036,FALSE,26.71973885
1,7.8,42,30,Andover,1001,124085,5.4415528,TRUE,7.172313202
1,0.783333333,42,30,Andover,1001,114450,6.673231786,TRUE,18.08090093
2,9.55,40,25,Andover,1001,73527,14.47825622,FALSE,23.7395382
3,15.63333333,59,0,Andover,1001,56634,1.052019648,FALSE,1.855163445
4,14.18333333,50,27,Andover,1001,73527,4.691583993,FALSE,27.2159776
5,18.85,62,0,Andover,1001,56633,3.183740389,TRUE,7.083442971
5,10.15,62,0,Andover,1001,52061,5.231178752,FALSE,3.533135667
5,8.716666667,62,0,Andover,1001,56634,2.322691063,FALSE,8.930218674
5,4.116666667,62,0,Andover,1001,52061,2.318572205,TRUE,2.363746747
6,0.183333333,39,43,Andover,1001,56633,10.95801788,TRUE,23.33855576
7,12,54,27,Andover,1001,73527,6.407275569,FALSE,18.10311532
7,5.666666667,54,27,Andover,1001,75021,11.17687813,FALSE,23.98957611
8,1.466666667,57,14,Andover,1001,52061,2.605707901,TRUE,3.458702546
9,19.63333333,46,26,Andover,1001,75021,10.01700414,TRUE,17.26121607
9,17.18333333,46,26,Andover,1001,73527,10.68701337,FALSE,23.27351239
9,11.86666667,46,26,Andover,1001,75021,8.679200388,TRUE,23.51777261
10,15.3,49,41,Andover,1002,94363,11.7856308,TRUE,23.92317192
11,17.58333333,52,38,Andover,1002,90103,4.830373724,FALSE,9.481282481
11,10.31666667,52,38,Andover,1002,90106,5.073265063,FALSE,6.352650089
11,7.55,52,38,Andover,1002,130960,8.294693501,TRUE,20.68207837
11,5.533333333,52,38,Andover,1002,85296,8.799050182,TRUE,25.60531678
12,9.783333333,50,41,Andover,1002,85296,5.610823467,FALSE,18.87965642
13,19.26666667,50,0,Andover,1002,90106,3.981232763,FALSE,7.054319471
13,17.53333333,50,0,Andover,1002,90103,2.533760255,TRUE,6.868048111
14,3.9,41,20,Andover,1002,90103,4.801604334,TRUE,11.43548254
15,4.716666667,40,29,Andover,1002,78837,7.336501847,TRUE,25.45798235
16,14.73333333,75,0,Andover,1002,126865,7.097542108,TRUE,6.874017503
